[2024-11-03T00:53:06.338502+00:00] loggerErrores.ERROR: Intent de moviment en una columna plena. [] []
[2024-11-05T14:36:28.905237+00:00] loggerErrores.ERROR: Error en el envío del formulari, falten dades [] []
[2024-11-06T01:23:01.857286+00:00] loggerErrores.ERROR: Els noms dels jugadors han de ser diferents [] []
[2024-11-06T03:14:07.960133+00:00] loggerErrores.ERROR: Error en el envío del formulari, falten dades [] []
[2024-11-06T03:18:07.132862+00:00] loggerErrores.ERROR: Error en el envío del formulari, falten dades [] []
[2024-11-06T03:18:48.931851+00:00] loggerErrores.ERROR: Error en el envío del formulari, falten dades [] []
[2024-11-06T12:23:25.527812+00:00] loggerErrores.ERROR: Error en el envío del formulari, falten dades [] []
[2024-11-06T12:23:28.998471+00:00] loggerErrores.ERROR: Error en el envío del formulari, falten dades [] []
[2024-11-06T12:52:03.820355+00:00] loggerErrores.ERROR: Error en el envío del formulari, falten dades [] []
[2024-11-06T12:52:09.901701+00:00] loggerErrores.ERROR: Error en el envío del formulari, falten dades [] []
[2024-11-06T12:54:10.817517+00:00] loggerErrores.ERROR: Error en el envío del formulari, falten dades [] []
[2024-11-06T12:59:21.814503+00:00] loggerErrores.ERROR: Els noms dels jugadors han de ser diferents [] []
[2024-11-06T13:02:17.389910+00:00] loggerErrores.ERROR: Els noms dels jugadors han de ser diferents [] []
[2024-11-06T13:07:44.293899+00:00] loggerErrores.ERROR: Els noms dels jugadors han de ser diferents [] []
[2024-11-06T13:13:18.009105+00:00] loggerErrores.ERROR: Els colors dels jugadors han de ser diferents [] []
[2024-11-06T17:11:28.207917+00:00] loggerErrores.ERROR: Els noms dels jugadors han de ser diferents [] []
